iter	Passed	Remaining
852	32071	5527
853	32109	5489
854	32146	5451
855	32183	5414
856	32219	5376
857	32252	5337
858	32287	5299
859	32324	5262
860	32360	5224
861	32396	5186
862	32432	5148
863	32465	5110
864	32504	5072
865	32544	5035
866	32578	4997
867	32616	4960
868	32653	4922
869	32691	4884
870	32724	4846
871	32758	4808
872	32794	4770
873	32833	4733
874	32871	4695
875	32905	4657
876	32942	4620
877	32981	4582
878	33016	4544
879	33052	4507
880	33090	4469
881	33121	4431
882	33158	4393
883	33193	4355
884	33229	4317
885	33267	4280
886	33301	4242
887	33334	4204
888	33374	4167
889	33411	4129
890	33445	4091
891	33488	4054
892	33527	4017
893	33561	3979
894	33705	3954
895	33851	3929
896	33912	3894
897	33947	3855
898	33985	3818
899	34018	3779
900	34050	3741
901	34088	3703
902	34123	3665
903	34160	3627
904	34203	3590
905	34238	3552
906	34272	3514
907	34315	3476
908	34359	3439
909	34401	3402
910	34437	3364
911	34470	3326
912	34507	3288
913	34542	3250
914	34583	3212
915	34621	3174
916	34663	3137
917	34709	3100
918	34747	3062
919	34780	3024
920	34818	2986
921	34854	2948
922	34890	2910
923	34931	2873
924	34965	2835
925	35004	2797
926	35039	2759
927	35072	2721
928	35105	2682
929	35142	2645
930	35176	2607
931	35212	2569
932	35249	2531
933	35285	2493
934	35315	2455
935	35352	2417
936	35388	2379
937	35426	2341
938	35464	2303
939	35497	2265
940	35533	2227
941	35569	2190
942	35603	2152
943	35635	2113
944	35672	2076
945	35706	2038
946	35739	2000
947	35776	1962
948	35813	1924
949	35850	1886
950	35884	1848
951	35919	1811
952	35952	1773
953	35988	1735
954	36023	1697
955	36058	1659
956	36093	1621
957	36125	1583
958	36161	1546
959	36200	1508
960	36234	1470
961	36266	1432
962	36303	1394
963	36339	1357
964	36373	1319
965	36407	1281
966	36440	1243
967	36476	1205
968	36513	1168
969	36545	1130
970	36580	1092
971	36620	1054
972	36656	1017
973	36693	979
974	36727	941
975	36760	903
976	36796	866
977	36831	828
978	36867	790
979	36898	753
980	36936	715
981	36970	677
982	37011	640
983	37046	602
984	37078	564
985	37116	527
986	37154	489
987	37187	451
988	37222	413
989	37254	376
990	37288	338
991	37324	301
992	37359	263
993	37396	225
994	37433	188
995	37470	150
996	37506	112
997	37546	75
998	37581	37
999	37614	0
